COVID-19 Deaths;Total Deaths;Pneumonia Deaths;Pneumonia and COVID-19 Deaths;Influenza Deaths;Pneumonia Influenza or COVID-19 Deaths
59503;429448;56123;30222;954;86215
51216;395173;46997;23245;736;75604
176185;1615631;156498;76763;4242;259722
18;8752;98;3;11;124
86;14083;282;16;81;433
11;1508;71;2;23;103
31;2270;79;3;38;145
240;9373;299;88;42;492
552;17003;686;241;69;1063
957;21750;1080;417;115;1729
1459;28630;1546;610;157;2545
2291;36110;2393;1003;169;3841
3793;48411;3913;1801;218;6104
6030;71495;6396;2957;318;9753
19987;212840;21543;10211;881;32103
16299;169709;17554;8406;690;26061
31813;282907;31429;15987;829;47988
46816;393590;42337;21693;940;68291
71679;618167;54762;26204;1067;101195
463199;3471759;412020;259606;1092;616432
168;19982;280;19;7;436
609;35785;839;180;21;1288
66;3838;168;19;7;221
183;5998;241;69;5;360
1662;38599;1308;792;14;2190
3933;68112;3014;1999;19;4964
7069;82867;5311;3739;17;8655
11575;104177;8710;6313;27;13992
17466;125741;13072;9787;36;20778
26214;155546;19466;14964;43;30749
39479;217074;30082;23008;65;46600
103175;610288;85733;61206;237;127859
79413;479809;67300;47229;196;99612
111689;725842;101562;66717;278;146731
110754;830704;104463;62930;259;152498
95250;941305;88233;45297;208;138351
260166;1843483;232695;149548;555;343719
84;10940;154;11;4;231
327;20734;459;100;12;698
33;2120;83;9;6;113
102;3505;135;38;1;200
966;28144;774;452;9;1295
2372;49592;1828;1197;14;3014
4306;58367;3249;2305;9;5257
7059;70503;5305;3874;11;8498
10694;82180;7900;5992;22;12618
16303;98995;11909;9338;27;18893
25040;136581;18633;14546;39;29154
63496;376244;51578;37239;133;77917
48332;294231;40151;28395;107;60152
65178;420072;59493;39007;164;85778
62227;433040;59312;36207;116;85429
43204;374303;42811;22586;78;63492
203033;1628276;179325;110058;537;272713
84;9042;126;8;3;205
282;15051;380;80;9;590
33;1718;85;10;1;108
81;2493;106;31;4;160
696;10455;534;340;5;895
1561;18520;1186;802;5;1950
2763;24500;2062;1434;8;3398
4516;33674;3405;2439;16;5494
6772;43561;5172;3795;14;8160
9911;56551;7557;5626;16;11856
14439;80493;11449;8462;26;17446
39679;234044;34155;23967;104;49942
31081;185578;27149;18834;89;39460
46511;305770;42069;27710;114;60953
48527;397664;45151;26723;143;67069
52046;567002;45422;22711;130;74859
238333;3140244;255962;107757;6734;392645
184;18511;260;38;18;422
606;33535;724;139;130;1308
126;3787;172;26;33;302
183;5781;211;44;67;410
613;32691;639;215;60;1093
1327;56610;1353;495;81;2256
2254;69718;2217;876;95;3679
3386;87797;3475;1414;146;5584
4990;105069;5029;2169;208;8043
7542;126933;7551;3452;239;11857
11868;174105;12098;5618;323;18635
37270;502979;40692;18317;1069;60608
29913;398192;33169;14831;861;49029
52000;640234;59853;26100;1397;87014
65357;792933;72574;30350;1770;109192
70845;899223;69740;27490;1902;114826
129239;1643725;140569;61238;3079;211330
107;10278;148;22;12;244
317;19600;401;77;62;696
66;2159;90;16;11;150
82;3332;116;23;33;203
375;23797;388;129;28;660
828;41056;805;298;39;1369
1353;49187;1319;516;46;2195
1988;59932;2068;838;74;3286
2910;69156;2925;1250;111;4688
4413;81005;4328;1969;126;6886
7076;109041;7042;3339;166;10927
22001;307646;23610;10820;524;35260
17578;242289;19184;8707;418;28430
30219;368410;34629;15261;671;50189
36553;410839;41018;17766;847;60565
32920;355237;33710;14209;736;53079
109094;1496519;115393;46519;3655;181315
77;8233;112;16;6;178
289;13935;323;62;68;612
60;1628;82;10;22;152
101;2449;95;21;34;207
238;8894;251;86;32;433
499;15554;548;197;42;887
901;20531;898;360;49;1484
1398;27865;1407;576;72;2298
2080;35913;2104;919;97;3355
3129;45928;3223;1483;113;4971
4792;65064;5056;2279;157;7708
15269;195333;17082;7497;545;25348
12335;155903;13985;6124;443;20599
21781;271824;25224;10839;726;36825
28804;382094;31556;12584;923;48627
37925;543986;36030;13281;1166;61747
6706;63362;5213;2177;140;9870
;403;;;;
;693;11;;;15
0;88;;0;;
0;103;;0;0;
;736;13;0;;23
25;1204;25;;;47
47;1360;52;19;;84
78;1728;83;25;;141
127;2160;106;36;;203
222;2854;160;62;;326
379;4062;262;112;14;543
1135;11798;927;347;47;1760
899;9365;763;273;36;1423
1669;13916;1313;556;40;2464
1900;15992;1509;667;23;2761
1675;15177;1185;513;12;2356
3562;33007;2831;1187;85;5284
;236;;0;;
;434;;0;;
0;50;0;0;0;0
0;68;;0;0;
;548;;0;;10
18;891;11;;;28
30;945;31;11;;52
43;1125;53;16;;82
73;1376;71;26;;121
129;1763;100;39;;193
211;2427;151;60;;309
658;7065;510;198;29;998
530;5628;418;160;24;811
993;8015;793;341;25;1469
1041;8083;823;355;13;1519
679;5631;537;234;;988
3144;30355;2382;990;55;4586
;167;;;0;
;259;;;;
0;38;;0;;
0;35;;0;0;
;188;;0;0;13
;313;14;;0;19
17;415;21;;;32
35;603;30;;;59
54;784;35;10;;82
93;1091;60;23;;133
168;1635;111;52;;234
477;4733;417;149;18;762
369;3737;345;113;12;612
676;5901;520;215;15;995
859;7909;686;312;10;1242
996;9546;648;279;;1368
9719;67323;6356;3604;36;12496
;431;;;0;10
;795;12;;0;19
;96;;0;0;
;134;;;0;
29;784;20;11;;39
87;1357;57;38;;107
172;1640;102;71;0;203
273;2087;151;105;;319
459;2714;240;171;;528
685;3542;374;257;;802
973;4858;532;368;;1138
2481;13369;1461;959;16;2994
1898;10493;1149;738;14;2319
2548;15475;1707;968;;3290
2254;16359;1566;837;;2989
1382;14339;1028;438;;1976
5226;35441;3435;1926;19;6746
;247;;;0;
;487;;;0;10
0;53;;0;0;
0;89;;0;0;
15;574;12;;;22
45;974;33;19;;60
95;1090;58;41;0;112
162;1342;83;62;;183
253;1694;122;88;;287
371;2124;207;142;;436
553;2929;314;219;;649
1391;8048;818;519;10;1695
1056;6299;635;388;;1307
1407;8846;971;525;;1854
1233;8320;850;460;;1625
612;5300;467;198;;883
4493;31882;2921;1678;17;5750
0;184;;0;0;
;308;;;0;
;43;0;0;0;
;45;;;0;
14;210;;;0;17
42;383;24;19;0;47
77;550;44;30;0;91
111;745;68;43;0;136
206;1020;118;83;0;241
314;1418;167;115;0;366
420;1929;218;149;0;489
1090;5321;643;440;;1299
842;4194;514;350;;1012
1141;6629;736;443;;1436
1021;8039;716;377;;1364
770;9039;561;240;;1093
4118;58067;3792;1320;113;6693
;340;;0;0;
;633;12;0;;21
;97;;0;;
;113;;0;;
;640;;;;14
26;1122;19;;;37
38;1353;39;;;70
54;1672;55;14;;98
71;2061;75;21;;128
126;2695;128;34;;225
244;3747;200;68;;380
824;10533;689;260;19;1269
668;8304;568;214;17;1037
1039;13036;991;350;23;1702
1168;15063;1145;403;35;1941
875;13313;753;250;24;1400
2260;30173;2079;751;59;3642
;189;;0;0;
;384;;0;;12
;59;;0;0;
0;72;;0;;
;458;;;0;10
19;801;14;;0;26
25;971;24;;;45
29;1136;32;;;58
43;1330;42;12;;75
69;1673;77;20;;129
132;2252;110;37;;208
463;6283;361;143;10;689
374;4946;300;117;;564
627;7417;582;216;;1001
648;7533;658;245;21;1080
401;4946;348;114;13;647
1858;27894;1713;569;54;3051
0;151;0;0;0;0
;249;;0;;
0;38;;0;;
;41;;0;;
;182;;;;
;321;;;;11
13;382;15;;0;25
25;536;23;;0;40
28;731;33;;;53
57;1022;51;14;;96
112;1495;90;31;;172
361;4250;328;117;;580
294;3358;268;97;;473
412;5619;409;134;15;701
520;7530;487;158;14;861
474;8367;405;136;11;753
254;5008;312;142;10;434
0;48;0;0;0;0
0;108;;0;;
0;;;0;;
0;32;0;0;0;0
;131;;;0;
;203;;;;
;227;;;;
;280;12;;0;16
10;283;19;;0;23
11;309;19;;0;23
10;392;16;;0;24
37;1047;54;17;;75
32;828;47;17;;63
66;1077;70;37;;101
73;1067;79;46;;108
59;917;71;32;;100
147;2898;174;76;;251
0;30;0;0;0;0
0;72;0;0;;
0;;0;0;;
0;24;0;0;0;0
0;93;;0;0;
0;137;;0;;
0;140;;0;;
;179;;;0;12
;180;13;;0;16
;178;13;;0;15
;242;;;0;15
20;668;28;;;41
16;521;25;;;34
45;650;42;23;0;64
46;627;48;26;;69
26;387;33;14;;47
107;2110;138;66;;183
0;18;0;0;0;0
0;36;;0;;
0;;;0;;
0;;0;0;0;0
;38;;;0;
;66;;;0;
;87;;;0;
;101;;0;0;
;103;;;0;
;131;;;0;
;150;;;0;
17;379;26;;0;34
16;307;22;;0;29
21;427;28;14;;37
27;440;31;20;;39
33;530;38;18;0;53
839;6075;667;502;;1005
;62;;0;0;
;106;;0;0;
0;12;;0;0;
0;10;0;0;0;0
;139;;;0;
13;241;10;;0;15
28;294;21;16;0;33
36;359;31;20;0;47
47;368;38;26;0;59
64;379;45;38;0;71
97;519;63;56;0;104
226;1323;162;128;;261
165;1004;124;95;;195
219;1396;184;150;0;253
175;1253;153;110;0;218
104;1018;78;48;0;134
519;3577;410;310;;620
0;31;;0;0;
0;59;;0;0;
0;;;0;0;
0;;0;0;0;0
;99;;;0;
;162;;;0;10
18;186;13;10;0;21
22;225;21;13;0;30
28;235;23;14;0;37
35;240;24;18;0;41
67;328;43;37;0;73
169;888;121;98;;193
120;680;91;72;;140
131;834;109;88;0;152
100;715;88;62;0;126
53;454;39;26;0;66
320;2498;257;192;0;385
;31;;0;0;
;47;;0;0;
0;;;0;0;
0;;0;0;0;0
0;40;0;0;0;0
;79;;;0;
10;108;;;0;12
14;134;10;;0;17
19;133;15;12;0;22
29;139;21;20;0;30
30;191;20;19;0;31
57;435;41;30;0;68
45;324;33;23;0;55
88;562;75;62;0;101
75;538;65;48;0;92
51;564;39;22;0;68
318;4992;317;139;20;514
;44;;0;0;
;88;;;0;
0;;0;0;0;0
;19;;;0;
;104;;0;0;
;171;;0;0;
;222;;;0;
;281;10;;;16
11;276;13;;;26
15;288;19;;;28
17;373;24;10;;33
49;1009;69;23;;98
40;790;56;19;;78
93;1157;83;45;;135
80;1096;83;38;;128
64;902;48;22;;93
165;2824;180;80;10;274
;31;;0;0;
;56;;;0;
0;;0;0;0;0
;12;;;0;
;72;;0;0;
;123;;0;0;
;140;;0;0;
0;175;;0;;
;181;;;;16
;179;;;;15
;233;;;;14
30;643;44;16;;60
27;502;38;15;;51
53;689;49;26;;77
45;587;51;25;;72
20;372;19;;;32
153;2168;137;59;10;240
;13;0;0;0;
;32;0;0;0;
0;;0;0;0;0
0;;0;0;0;0
;32;0;0;0;
;48;;0;0;
;82;;;0;
;106;;;0;
;95;;;;10
;109;11;;;13
10;140;15;;;19
19;366;25;;;38
13;288;18;;0;27
40;468;34;19;;58
35;509;32;13;;56
44;530;29;14;;61
9321;77080;9212;5442;148;13237
0;402;;0;;
;841;18;;;27
;104;;0;;
;148;;;;
30;1121;32;15;;49
73;1878;68;40;;103
123;2112;109;67;;169
195;2460;154;99;;255
279;2670;205;136;;354
402;3210;329;223;11;518
593;4445;530;352;16;786
1707;12492;1652;1024;37;2371
1354;9879;1332;816;26;1896
2143;15727;2204;1338;38;3047
2580;19679;2633;1547;29;3695
2213;20793;2154;1167;21;3221
5505;42412;5383;3280;79;7686
0;225;;0;;
;502;11;;;19
;59;;0;;
;79;;;;
22;863;22;10;;36
49;1419;49;30;;70
78;1515;68;45;;103
127;1698;93;66;;157
179;1803;136;92;;226
252;2098;201;136;;320
405;2837;337;237;;513
1121;7823;1055;681;22;1517
867;6159;839;529;15;1192
1305;9254;1313;813;19;1824
1547;10737;1561;937;14;2185
1098;8881;1100;615;11;1594
3816;34668;3829;2162;69;5551
0;177;;0;0;
;339;;;;
0;45;;0;0;
;69;;;;
;258;10;;0;13
24;459;19;10;0;33
45;597;41;22;;66
68;762;61;33;;98
100;867;69;44;;128
150;1112;128;87;;198
188;1608;193;115;;273
586;4669;597;343;15;854
487;3720;493;287;11;704
838;6473;891;525;19;1223
1033;8942;1072;610;15;1510
1115;11912;1054;552;10;1627
14060;82476;11969;8524;19;17518
;428;;;0;11
22;863;32;10;0;44
;107;;0;0;
;148;14;;0;16
66;1172;50;32;0;84
155;2068;108;81;0;182
273;2432;193;142;0;324
424;2918;325;243;0;506
567;3307;437;348;;659
845;3978;663;529;;982
1287;5354;998;806;;1479
3165;14018;2604;2005;;3765
2404;10897;2027;1532;;2900
3557;17573;3058;2266;;4352
3593;20977;3126;2178;;4542
2299;20081;2053;1212;;3145
8307;45860;7059;5126;12;10248
;225;;0;0;
13;494;13;;0;23
;59;;0;0;
;80;;;0;
35;847;21;12;0;44
88;1516;57;41;0;104
165;1770;112;78;0;199
260;2018;193;142;0;311
360;2229;265;216;;411
550;2602;415;339;;628
840;3368;634;524;;950
1959;8646;1554;1216;;2297
1463;6698;1189;909;0;1743
2120;10396;1837;1377;;2583
2166;11429;1896;1359;;2703
1151;8759;1094;649;;1599
5753;36616;4910;3398;;7270
;203;;;0;
;369;19;;0;21
0;48;;0;0;
;68;;;0;
31;325;29;20;0;40
67;552;51;40;0;78
108;662;81;64;0;125
164;900;132;101;0;195
207;1078;172;132;;248
295;1376;248;190;;354
447;1986;364;282;0;529
1206;5372;1050;789;;1468
941;4199;838;623;;1157
1437;7177;1221;889;;1769
1427;9548;1230;819;;1839
1148;11322;959;563;;1546
5741;72513;6132;2943;109;9026
;453;;0;;
11;830;17;;;32
;97;;0;;
;120;;0;0;
24;972;29;13;;41
48;1645;46;21;;74
79;1994;75;36;;121
112;2495;132;61;;187
142;2793;164;72;;238
216;3177;232;117;;337
310;4107;334;167;11;486
896;11034;1023;492;22;1446
720;8645;836;404;14;1165
1373;14893;1504;781;21;2116
1682;19297;1779;826;24;2655
1403;19142;1399;644;25;2179
3334;39729;3508;1732;41;5147
;260;;0;;
;488;;0;;15
;54;;0;;
;66;;0;0;
16;729;22;;0;29
32;1241;33;14;0;51
48;1448;43;17;;76
64;1791;80;33;;114
77;1952;102;41;;139
120;2137;139;67;;192
176;2667;204;98;;284
539;6836;594;290;10;853
440;5317;478;239;;687
813;8615;875;454;10;1243
997;10429;1023;498;;1528
764;8192;756;376;;1151
2407;32784;2624;1211;68;3879
;193;;0;0;
;342;;;;17
;43;;0;;
;54;;0;0;
;243;;;;12
16;404;13;;;23
31;546;32;19;;45
48;704;52;28;;73
65;841;62;31;;99
96;1040;93;50;;145
134;1440;130;69;;202
357;4198;429;202;12;593
280;3328;358;165;;478
560;6278;629;327;11;873
685;8868;756;328;18;1127
639;10950;643;268;16;1028
4027;37818;3902;1810;102;6215
0;257;;0;0;
;450;;;;11
;50;;;;
0;69;0;0;0;0
;419;;;;13
12;660;18;;;28
29;745;32;10;;52
40;998;39;11;;70
59;1255;77;15;;125
120;1662;130;47;;208
169;2267;189;82;;283
546;6750;638;272;30;940
458;5458;519;226;24;774
830;8243;892;416;27;1332
1190;9505;1146;557;17;1796
1288;9550;1030;502;17;1830
2045;19686;2079;993;52;3181
0;147;;0;0;
0;272;;0;;
0;27;0;0;;
0;39;0;0;0;0
;304;;0;;
;465;10;0;;17
17;513;16;;;31
22;648;18;;;37
34;773;48;11;;74
69;979;72;27;;118
108;1325;99;50;;161
326;4055;366;157;18;552
263;3291;298;125;15;451
475;4744;496;233;13;751
642;4913;631;322;;960
505;3610;483;249;;742
1982;18132;1823;817;50;3034
0;110;;0;0;
;178;;;;
;23;;;;
0;30;0;0;0;0
;115;;;;
;195;;;;11
12;232;16;;0;21
18;350;21;;0;33
25;482;29;;;51
51;683;58;20;;90
61;942;90;32;;122
220;2695;272;115;12;388
195;2167;221;101;;323
355;3499;396;183;14;581
548;4592;515;235;;836
783;5940;547;253;13;1088
5336;40034;4788;2870;15;7264
;302;;0;0;
;495;;;0;15
;47;;0;0;
;83;;;0;
19;434;19;11;0;27
57;779;49;35;0;71
101;920;78;54;0;125
148;1176;102;69;;182
231;1542;158;112;;278
326;1979;251;182;0;395
464;2764;362;257;0;569
1258;7745;1033;725;;1568
975;6082;819;577;;1219
1379;9074;1233;781;;1832
1277;9843;1228;672;;1839
884;8943;883;405;0;1362
2958;21409;2694;1621;;4036
;162;;0;0;
;287;;0;0;
;29;0;0;0;
0;50;0;0;0;0
;320;10;;0;13
31;560;25;16;0;40
54;618;41;26;0;69
83;749;59;40;0;102
135;954;79;59;0;155
187;1185;140;102;0;225
286;1676;220;157;0;349
759;4660;595;426;0;928
578;3632;469;337;0;710
786;5310;732;453;;1066
715;5111;702;385;;1036
394;3547;438;199;0;633
2378;18625;2094;1249;;3228
;140;;0;0;
;208;;;0;
0;18;;0;0;
;33;;;0;
11;114;;;0;14
26;219;24;19;0;31
47;302;37;28;0;56
65;427;43;29;;80
96;588;79;53;;123
139;794;111;80;0;170
178;1088;142;100;0;220
499;3085;438;299;;640
397;2450;350;240;;509
593;3764;501;328;;766
562;4732;526;287;;803
490;5396;445;206;0;729
2714;36306;3034;1171;118;4689
;226;;0;0;
;428;14;;;22
0;54;;0;0;
;77;;;;11
;404;;0;0;10
18;610;;;;26
29;684;22;12;;42
43;899;45;19;;71
66;1194;69;26;;114
97;1576;102;42;;165
140;2200;147;59;;237
434;6333;490;206;29;746
352;5007;404;173;24;606
661;8098;776;325;23;1133
828;9764;909;353;23;1406
624;8598;689;221;29;1120
1463;19030;1657;671;52;2499
0;122;;0;0;
;253;;;;11
0;35;;0;0;
;43;;;;
;296;;0;0;
13;436;;;;19
21;460;12;;;28
26;579;23;10;;40
31;723;31;10;;54
47;926;42;17;;76
81;1313;67;31;;120
251;3802;279;115;11;426
201;3004;238;97;10;352
365;4629;434;190;14;622
468;5027;524;221;13;783
289;3378;339;113;;522
1251;17276;1377;500;66;2190
;104;;0;0;
;175;;0;0;11
0;19;0;0;0;0
;34;;0;0;
;108;0;0;0;
;174;;0;;
;224;10;;;14
17;320;22;;;31
35;471;38;16;;60
50;650;60;25;;89
59;887;80;28;;117
183;2531;211;91;18;320
151;2003;166;76;14;254
296;3469;342;135;;511
360;4737;385;132;10;623
335;5220;350;108;22;598
33578;320776;37034;18790;819;52630
;1667;26;;;30
18;3047;71;;19;103
;318;14;0;;23
;538;24;;;33
96;3848;100;35;;169
205;6749;229;76;20;378
364;7573;361;146;35;614
612;8874;536;264;40;922
926;10312;858;460;45;1367
1508;13130;1403;813;54;2152
2359;19017;2189;1315;78;3311
6377;52874;6424;3697;198;9301
4964;41401;5091;2895;150;7309
7287;60658;8087;4358;161;11171
8236;73574;9525;4815;164;13108
9335;101870;10759;4762;163;15495
19687;172561;21239;11221;420;30119
;924;20;;0;22
12;1792;41;;12;60
;188;;0;;14
;310;;;;16
58;2910;67;25;;102
134;5088;149;47;;244
241;5533;236;95;16;398
423;6290;361;187;19;615
639;7058;552;312;23;901
1063;8664;915;568;28;1438
1708;12309;1472;943;45;2282
4500;33868;4243;2573;117;6286
3477;26470;3346;2001;87;4908
4749;36320;5069;2821;88;7081
4679;38927;5461;2788;73;7425
4127;41612;5000;2232;75;6970
13891;148215;15795;7569;399;22511
;743;;0;;
;1255;30;0;;43
;130;;0;;
0;228;15;0;;17
38;938;33;10;;67
71;1661;80;29;12;134
123;2040;125;51;19;216
189;2584;175;77;21;307
287;3254;306;148;22;466
445;4466;488;245;26;714
651;6708;717;372;33;1029
1877;19006;2181;1124;81;3015
1487;14931;1745;894;63;2401
2538;24338;3018;1537;73;4090
3557;34647;4064;2027;91;5683
5208;60258;5759;2530;88;8525
48327;334604;45890;30150;53;64106
11;1726;25;;0;32
45;3141;66;12;;100
;310;15;;0;18
11;539;17;;;27
164;3928;141;93;0;212
423;7192;350;243;0;530
823;8753;642;472;0;993
1318;10721;1056;771;;1604
1942;12646;1557;1163;;2338
2933;15479;2338;1819;;3455
4366;21603;3505;2737;;5139
11476;58288;9940;7489;10;13932
8874;45316;7848;5862;;10862
11235;65071;10770;7417;14;14597
10855;75780;11079;6930;16;15017
10042;98932;10291;5469;;14871
28709;182465;27119;18295;30;37554
;938;16;;0;21
26;1786;36;;0;56
;171;10;;0;11
;296;;;0;11
117;2915;95;65;0;147
290;5443;243;168;0;365
560;6543;431;319;0;672
916;7762;725;532;;1110
1329;8774;1054;795;;1590
1992;10381;1537;1227;;2303
3029;14336;2373;1902;;3501
7637;37690;6474;4962;;9152
5812;29089;5029;3810;;7033
6952;38581;6677;4601;11;9035
6206;40119;6338;4035;;8515
4690;40703;5089;2764;;7018
19618;152139;18771;11855;23;26552
;788;;;0;11
19;1355;30;;;44
;139;;0;0;
;243;10;;;16
47;1013;46;28;0;65
133;1749;107;75;0;165
263;2210;211;153;0;321
402;2959;331;239;0;494
613;3872;503;368;0;748
941;5098;801;592;;1152
1337;7267;1132;835;;1638
3839;20598;3466;2527;;4780
3062;16227;2819;2052;;3829
4283;26490;4093;2816;;5562
4649;35661;4741;2895;;6502
5352;58229;5202;2705;;7853
21312;298571;26193;10782;486;37181
10;1590;15;;;24
60;2881;61;12;11;119
16;312;17;;;34
18;498;20;;;39
66;3168;60;25;;105
162;5937;158;60;;267
270;7606;263;95;13;450
362;9070;388;141;16;624
538;10341;553;226;20;883
830;12554;836;377;25;1311
1237;16969;1313;589;29;1986
3480;45893;4105;1858;69;5792
2739;35851;3307;1505;53;4592
4379;56007;5735;2380;79;7808
5328;71352;7062;2820;126;9688
6711;94877;7848;3134;152;11572
12056;159536;14645;6250;224;20660
;899;;;;14
31;1662;28;;;58
;165;;;;14
10;279;;;;18
42;2331;37;17;;63
108;4484;91;36;;164
177;5693;164;58;;288
240;6602;254;93;;409
357;7242;354;143;11;577
541;8378;532;236;14;849
804;11082;827;378;13;1264
2218;29200;2490;1171;37;3572
1735;22635;1990;942;32;2814
2663;32947;3350;1453;44;4600
3045;37443;3998;1662;58;5435
3210;38820;3902;1592;54;5573
9256;139035;11548;4532;262;16521
;691;;;0;10
29;1219;33;;;61
10;147;;0;;20
;219;12;;;21
24;837;23;;;42
54;1453;67;24;;103
93;1913;99;37;;162
122;2468;134;48;;215
181;3099;199;83;;306
289;4176;304;141;11;462
433;5887;486;211;16;722
1262;16693;1615;687;32;2220
1004;13216;1317;563;21;1778
1716;23060;2385;927;35;3208
2283;33909;3064;1158;68;4253
3501;56057;3946;1542;98;5999
5073;47592;4593;2503;139;7297
;323;;0;;
;603;;;;17
0;42;;0;;
;92;;0;;
12;733;14;;;24
24;1216;25;;;46
27;1399;47;;;68
34;1619;85;19;;109
64;1801;101;33;;141
132;2126;136;63;;211
220;2836;237;122;18;353
597;7603;677;328;44;990
467;5941;526;251;31;773
997;9171;1016;562;26;1475
1449;11047;1307;753;12;2014
1833;14207;1338;769;35;2435
2813;25392;2636;1515;70;4002
;165;0;0;;
;356;;;;
0;31;;0;;
;59;0;0;0;
;533;;;;15
18;908;15;;;31
17;1004;27;;;39
23;1105;52;15;;65
41;1212;63;23;;86
93;1378;85;44;;137
160;1783;153;88;10;235
416;4769;429;221;23;647
325;3729;331;166;16;506
636;5413;660;377;14;933
831;5853;761;470;;1126
791;5610;631;381;15;1054
2260;22200;1957;988;69;3295
0;158;;0;0;
;247;;;;
0;11;0;0;0;0
0;33;;0;;
;200;;;0;
;308;10;;0;15
10;395;20;;;29
11;514;33;;;44
23;589;38;10;;55
39;748;51;19;;74
60;1053;84;34;;118
181;2834;248;107;21;343
142;2212;195;85;15;267
361;3758;356;185;12;542
618;5194;546;283;;888
1042;8597;707;388;20;1381
6207;49135;5400;3634;13;7983
;338;;0;0;
;624;14;;;22
0;56;;0;0;
;110;;0;;
32;766;20;12;;40
53;1333;36;25;;64
89;1625;69;51;0;107
153;1989;110;80;0;183
214;2218;167;108;0;273
349;2521;277;195;;433
533;3212;398;306;;627
1408;8332;1120;833;;1695
1100;6474;892;658;;1334
1497;9954;1394;961;;1932
1452;11344;1345;888;;1912
1286;13038;1104;650;;1742
3623;26823;3199;2184;;4642
0;182;;0;0;
;371;;;;11
0;32;;0;0;
;75;;0;;
19;557;10;;;23
33;996;22;14;;41
62;1198;52;37;0;77
104;1395;79;58;0;125
142;1446;101;69;0;174
226;1598;168;119;;276
356;2080;260;200;;417
925;5245;712;542;;1095
712;4035;559;422;;849
893;5865;842;579;;1157
840;6049;806;532;;1114
597;5304;564;339;;823
2584;22312;2201;1450;;3341
;156;;0;0;
;253;;;0;11
0;24;;0;0;
0;35;0;0;0;0
13;209;10;;0;17
20;337;14;11;0;23
27;427;17;14;0;30
49;594;31;22;0;58
72;772;66;39;0;99
123;923;109;76;;157
177;1132;138;106;;210
483;3087;408;291;0;600
388;2439;333;236;0;485
604;4089;552;382;;775
612;5295;539;356;;798
689;7734;540;311;;919
3301;45631;3403;1426;144;5415
;282;;;;14
;571;13;;;22
0;56;;0;0;
0;117;;0;;
;722;15;;;24
22;1221;33;;;51
41;1454;45;11;;77
65;1772;62;21;;108
92;1921;85;36;;146
126;2121;130;59;;202
173;2687;181;81;;275
511;7037;535;230;19;834
411;5483;434;187;17;674
733;9035;790;346;28;1204
852;10956;954;406;38;1437
983;12918;886;356;48;1557
1842;24263;1944;859;53;2978
;164;;;0;
;334;10;;;15
0;27;;0;0;
0;67;;0;;
;527;12;;;18
12;889;22;;;32
27;1040;28;;;49
50;1256;39;16;;74
67;1322;47;24;;94
84;1411;79;38;;129
104;1750;111;48;;168
333;4411;344;159;10;528
276;3404;286;136;;435
428;5150;472;208;;699
481;5602;551;245;15;801
448;5210;427;188;14;700
1459;21368;1459;567;91;2437
;118;;0;;
;237;;0;;
0;29;;0;0;
0;50;0;0;0;0
;195;;0;;
10;332;11;;;19
14;414;17;;;28
15;516;23;;;34
25;599;38;12;;52
42;710;51;21;;73
69;937;70;33;;107
178;2626;191;71;;306
135;2079;148;51;;239
305;3885;318;138;21;505
371;5354;403;161;23;636
535;7708;459;168;34;857
6298;38106;3181;1591;92;7977
;145;0;0;0;
;239;;0;;
0;21;;0;;
0;34;;0;0;
;266;;;0;
;523;;;;16
19;701;11;;;31
29;878;14;;0;42
42;957;32;;0;68
87;1192;52;15;;126
159;1852;86;38;;214
634;5397;361;171;19;843
536;4253;301;142;14;709
1082;6341;630;325;18;1402
1654;8953;827;448;26;2059
2802;14583;1286;629;23;3482
3059;19020;1661;851;46;3912
0;90;0;0;0;0
0;145;;0;;
0;10;0;0;;
0;19;;0;0;
;198;;;0;
;402;;;;10
13;527;;;;21
20;630;;0;0;28
28;640;21;;0;43
58;767;34;11;0;81
115;1221;52;25;;144
419;3417;218;112;;534
346;2656;182;92;;443
653;3652;367;203;14;828
856;4549;439;236;11;1070
1046;5458;589;287;10;1358
3239;19086;1520;740;46;4065
;55;0;0;0;
;94;;0;0;
0;11;;0;0;
0;15;;0;0;
;68;;0;0;
;121;;0;;
;174;;;;10
;248;;;0;14
14;317;11;0;0;25
29;425;18;;;45
44;631;34;13;;70
215;1980;143;59;10;309
190;1597;119;50;;266
429;2689;263;122;;574
798;4404;388;212;15;989
1756;9125;697;342;13;2124
3153;34753;2798;1371;;4582
;162;;0;0;
;257;;;0;10
;22;;;0;
;34;0;0;0;
;273;;;0;
15;510;10;;0;20
35;672;23;12;0;46
53;885;34;18;0;69
83;1062;49;32;0;100
125;1219;68;48;0;145
183;1767;117;81;;219
540;5417;438;264;;714
428;4296;358;209;0;577
601;5980;552;289;0;864
792;8248;766;357;;1201
1021;12237;925;389;;1559
1685;17916;1517;755;;2448
;98;;0;0;
;161;;;0;
;15;;;0;
;18;0;0;0;
;188;;0;0;
;356;;;0;13
20;463;;;0;23
34;616;13;10;0;37
58;751;34;22;0;70
86;812;47;34;0;99
122;1116;76;55;;143
340;3416;267;163;;444
265;2712;213;126;0;352
363;3457;337;174;0;526
425;4257;408;191;0;642
424;4841;433;180;;678
1468;16837;1281;616;;2134
0;64;0;0;0;0
;96;0;0;0;
0;;0;0;0;0
;16;0;0;0;
;85;;;0;
;154;;;0;
