COVID-19 Deaths;Total Deaths;Pneumonia Deaths;Pneumonia and COVID-19 Deaths;Influenza Deaths;Pneumonia Influenza or COVID-19 Deaths
475;4314;386;238;;630
1336;12517;1240;698;29;1906
1042;9927;1005;559;25;1513
1626;14683;1662;876;28;2439
1825;15051;1857;928;27;2779
1188;10535;1260;561;11;1897
5611;54033;5294;2566;125;8452
;354;10;0;0;13
10;561;18;;;27
;60;;;;
;97;;;0;
16;337;13;;;23
37;588;33;23;;49
67;758;63;40;;91
100;1097;86;44;;144
156;1541;146;73;;234
240;2127;229;125;;349
298;2917;312;160;;459
902;8311;921;505;33;1348
743;6620;737;417;26;1086
1244;10732;1239;646;25;1858
1470;14061;1426;654;21;2262
1608;16556;1342;567;35;2415
103217;953951;109117;59722;1358;153917
27;4983;66;10;;86
123;9069;198;29;31;322
22;940;46;;;75
32;1575;61;;14;99
326;10944;301;153;12;486
790;19878;737;379;28;1175
1457;23932;1266;713;48;2057
2292;28665;1980;1176;57;3150
3406;33299;2968;1849;67;4588
5271;41163;4577;3009;82;6918
7962;57589;7007;4641;112;10436
21333;157055;20469;13044;277;29025
16577;122568;16246;10262;210;22763
22901;181736;24592;14155;254;33576
24419;220706;27666;14565;306;37813
26088;295679;28898;13365;323;41938
60452;514562;63003;35766;674;88333
19;2761;43;;;57
69;5240;105;18;19;174
;524;25;;;39
18;885;24;;;45
217;8156;199;107;;312
532;15015;483;251;;773
978;17769;831;472;21;1358
1579;20654;1340;812;29;2134
2325;23074;1960;1250;36;3068
3596;27423;2984;2031;43;4590
5541;37727;4672;3223;59;7047
14355;100758;13207;8706;161;19010
11024;78194;10365;6753;125;14755
14364;107848;15096;8875;143;20716
13930;116489;15797;8485;138;21375
12027;121135;13991;6588;132;19561
42765;439389;46114;23956;684;65584
;2222;23;;;29
54;3829;93;11;12;148
13;416;21;0;;36
14;690;37;;;54
109;2788;102;46;;174
258;4863;254;128;19;402
479;6163;435;241;27;699
713;8011;640;364;28;1016
1081;10225;1008;599;31;1520
1675;13740;1593;978;39;2328
2421;19862;2335;1418;53;3389
6978;56297;7262;4338;116;10015
5553;44374;5881;3509;85;8008
8537;73888;9496;5280;111;12860
10489;104217;11869;6080;168;16438
14061;174544;14907;6777;191;22377
14581;142358;13396;7563;296;20695
12;943;16;;;28
25;1798;36;;;61
0;154;;0;;10
;319;;0;;13
52;2221;49;18;;88
99;3770;94;38;;161
157;4478;161;70;;252
252;5380;257;120;11;400
370;5940;353;177;14;560
607;6768;543;317;13;846
926;8735;816;509;22;1255
2516;22972;2332;1391;64;3519
1978;17898;1852;1096;49;2781
3227;28160;3200;1869;56;4611
3753;33347;3606;2047;54;5363
4102;40163;3328;1775;85;5734
8278;76478;7779;4558;130;11622
;511;;;;15
16;1061;19;;;35
0;90;;0;;
;201;;0;;
33;1617;30;11;;56
63;2793;59;23;;104
106;3242;107;50;;165
177;3756;170;89;;264
250;3980;211;116;;354
403;4387;332;201;;542
620;5613;524;336;12;820
1674;14425;1485;922;34;2270
1313;11168;1176;724;26;1790
1957;16428;1974;1164;22;2789
2152;17504;2118;1247;20;3041
1836;16124;1622;908;30;2577
6303;65880;5617;3005;166;9073
;432;;0;;13
;737;17;;;26
0;64;;0;0;
0;118;;0;;
19;604;19;;;32
36;977;35;15;;57
51;1236;54;20;;87
75;1624;87;31;;136
120;1960;142;61;;206
204;2381;211;116;;304
306;3122;292;173;10;435
842;8547;847;469;30;1249
665;6730;676;372;23;991
1270;11732;1226;705;34;1822
1601;15843;1488;800;34;2322
2266;24039;1706;867;55;3157
11926;106151;8745;3890;167;16937
;446;;0;0;
15;755;13;;;28
;67;;;;
;109;;0;;
13;797;13;;;23
32;1490;23;10;;49
74;1996;45;19;;103
120;2599;70;30;0;160
171;3022;110;52;;230
259;3503;165;80;;350
439;5154;298;154;13;595
1546;15480;1186;596;25;2160
1262;12236;980;487;17;1772
2127;18109;1697;789;31;3062
3083;25271;2330;1039;51;4421
4744;38944;3261;1344;48;6707
6087;53762;4704;2122;77;8739
;275;;0;0;
;472;;;;14
;35;;;;
;63;;0;0;
;571;;;0;12
20;1084;15;;;30
44;1441;23;;;59
77;1828;34;17;0;94
113;2047;70;37;;147
170;2296;109;56;;226
295;3337;192;104;;387
989;9720;716;370;13;1347
796;7631;583;296;10;1093
1273;10439;1006;476;19;1819
1650;12956;1281;568;22;2383
1902;14967;1535;628;18;2826
5839;52389;4041;1768;90;8198
;171;0;0;0;
;283;;;;14
;32;;;0;
;46;;0;;
;226;;;;11
12;406;;;;19
