ProcedureCode;TotalProc;pr0;pr1;pr2;pr3;pr4;pr5;pr6;pr7;pr8;pr9;pr10;pr11;pr12;pr13;pr14;pr15;pr16;pr17;pr18;pr19;pr20
11765;985;918;42;15;3;6;;1;;;;;;;;;;;;;;
11770;27;27;;;;;;;;;;;;;;;;;;;;
11771;2;2;;;;;;;;;;;;;;;;;;;;
11772;1;1;;;;;;;;;;;;;;;;;;;;
11900;1;1;;;;;;;;;;;;;;;;;;;;
11971;2;1;1;;;;;;;;;;;;;;;;;;;
11976;2;2;;;;;;;;;;;;;;;;;;;;
11982;5;5;;;;;;;;;;;;;;;;;;;;
12001;62398;57687;2704;982;427;206;95;71;31;34;27;18;24;18;18;13;7;10;15;1;3;7
12002;35826;32801;1583;618;292;164;97;50;39;25;24;26;20;15;15;15;14;11;5;8;3;1
12004;4136;3677;226;78;50;22;25;13;7;4;6;7;4;4;2;2;2;4;2;;;1
12005;930;833;52;18;7;4;1;3;3;;1;1;1;2;;;;;1;1;1;1
12006;191;166;13;2;3;;;2;1;;;;;1;1;1;1;;;;;
12007;57;53;1;1;2;;;;;;;;;;;;;;;;;
12011;45609;42734;1740;476;174;116;88;54;35;36;27;13;22;33;16;13;10;10;3;5;3;1
12013;13614;12373;693;198;91;52;57;29;14;16;11;11;17;13;9;6;5;8;4;3;3;1
12014;1380;1185;98;24;16;10;7;6;7;10;3;2;2;3;1;1;2;1;;1;;1
12015;645;558;48;9;4;7;2;;2;3;1;1;1;2;;3;1;2;;;;1
12016;97;85;5;1;1;2;1;;;;;1;;;;;;;;1;;
12017;12;10;;1;1;;;;;;;;;;;;;;;;;
12018;5;5;;;;;;;;;;;;;;;;;;;;
12020;396;374;16;1;2;2;;;1;;;;;;;;;;;;;
12021;58;47;7;1;2;1;;;;;;;;;;;;;;;;
12031;908;773;81;25;13;7;4;1;3;1;;;;;;;;;;;;
12032;2449;2157;167;55;26;15;8;4;2;3;;2;2;1;1;1;1;;1;;1;2
12034;957;833;66;21;10;6;8;6;2;2;2;;;;;;;;;1;;
12035;329;290;21;6;2;2;3;2;1;1;;;;;;;;;1;;;
12036;54;44;2;4;2;;;;2;;;;;;;;;;;;;
12037;12;9;2;;;;;1;;;;;;;;;;;;;;
12041;980;812;107;29;15;11;4;1;1;;;;;;;;;;;;;
12042;1054;917;87;23;8;9;3;3;1;;;;;1;;;;1;;;1;
12044;143;121;11;2;2;3;1;;;1;1;;1;;;;;;;;;
12045;34;27;3;2;2;;;;;;;;;;;;;;;;;
12046;6;6;;;;;;;;;;;;;;;;;;;;
12047;2;2;;;;;;;;;;;;;;;;;;;;
12051;2446;2235;137;40;8;5;7;1;;1;2;1;1;3;2;1;1;;;;;1
12052;2358;2089;152;48;25;8;5;10;8;3;1;;;3;2;2;1;1;;;;
12053;477;401;47;9;3;4;4;2;2;1;;;1;;;1;1;;;1;;
12054;239;198;25;5;1;3;2;1;2;1;;;;;1;;;;;;;
12055;47;38;4;4;;1;;;;;;;;;;;;;;;;
12056;6;5;1;;;;;;;;;;;;;;;;;;;
12057;4;3;1;;;;;;;;;;;;;;;;;;;
13100;3;2;1;;;;;;;;;;;;;;;;;;;
13101;60;52;3;2;1;;;;;;1;1;;;;;;;;;;
13102;29;2;17;4;3;1;1;1;;;;;;;;;;;;;;
13120;86;67;9;3;3;1;3;;;;;;;;;;;;;;;
13121;857;718;76;25;9;6;5;5;2;3;1;;1;3;1;;;;1;;1;
13122;466;11;279;79;39;30;7;4;5;;3;1;1;2;1;2;;;;2;;
13131;428;357;41;21;4;2;1;1;;1;;;;;;;;;;;;
13132;1246;1024;123;49;17;5;7;5;5;;;3;1;1;1;1;;;;2;1;1
13133;267;4;161;46;10;9;8;8;6;4;1;1;1;3;2;1;;;;;2;
13150;109;97;8;1;1;1;;;;;;;;1;;;;;;;;
13151;323;263;35;12;2;3;;1;;2;3;1;;;;;1;;;;;
