ProcedureCode;TotalProc;pr0;pr1;pr2;pr3;pr4;pr5;pr6;pr7;pr8;pr9;pr10;pr11;pr12;pr13;pr14;pr15;pr16;pr17;pr18;pr19;pr20
25565;677;610;18;7;12;14;3;4;5;2;1;1;;;;;;;;;;
25574;1;1;;;;;;;;;;;;;;;;;;;;
25575;11;11;;;;;;;;;;;;;;;;;;;;
25600;669;608;39;8;7;;2;2;;1;;;;;;1;1;;;;;
25605;5293;4836;203;79;42;51;27;16;13;7;4;4;3;1;1;2;;;1;1;1;1
25606;18;13;5;;;;;;;;;;;;;;;;;;;
25607;17;16;;1;;;;;;;;;;;;;;;;;;
25608;26;23;3;;;;;;;;;;;;;;;;;;;
25609;22;19;2;;;1;;;;;;;;;;;;;;;;
25622;51;39;2;3;2;;2;1;1;;;;;;;1;;;;;;
25624;34;27;4;2;;;;1;;;;;;;;;;;;;;
25628;2;2;;;;;;;;;;;;;;;;;;;;
25630;10;9;;;1;;;;;;;;;;;;;;;;;
25635;63;53;8;;2;;;;;;;;;;;;;;;;;
25650;40;33;2;2;1;;1;;;;1;;;;;;;;;;;
25651;3;;2;;;;1;;;;;;;;;;;;;;;
25652;8;;7;;;1;;;;;;;;;;;;;;;;
25660;10;8;1;;;;;;;;1;;;;;;;;;;;
25670;1;;;1;;;;;;;;;;;;;;;;;;
25675;48;36;7;;2;1;1;1;;;;;;;;;;;;;;
25676;1;;1;;;;;;;;;;;;;;;;;;;
25680;3;2;1;;;;;;;;;;;;;;;;;;;
25690;17;15;;2;;;;;;;;;;;;;;;;;;
25915;1;1;;;;;;;;;;;;;;;;;;;;
25999;71;61;6;3;1;;;;;;;;;;;;;;;;;
26010;1099;1000;46;15;8;10;5;3;3;4;;1;;2;;1;;;;;1;
26011;177;160;10;2;;2;;;1;;;;2;;;;;;;;;
26037;2;;;;2;;;;;;;;;;;;;;;;;
26055;6;6;;;;;;;;;;;;;;;;;;;;
26070;4;3;1;;;;;;;;;;;;;;;;;;;
26075;6;6;;;;;;;;;;;;;;;;;;;;
26080;6;5;1;;;;;;;;;;;;;;;;;;;
26105;2;2;;;;;;;;;;;;;;;;;;;;
26111;2;1;1;;;;;;;;;;;;;;;;;;;
26115;1;1;;;;;;;;;;;;;;;;;;;;
26125;1;1;;;;;;;;;;;;;;;;;;;;
26160;2;2;;;;;;;;;;;;;;;;;;;;
26235;1;1;;;;;;;;;;;;;;;;;;;;
26236;1;1;;;;;;;;;;;;;;;;;;;;
26320;1;1;;;;;;;;;;;;;;;;;;;;
26340;2;1;;1;;;;;;;;;;;;;;;;;;
26350;44;21;12;4;3;2;1;;;;;;;1;;;;;;;;
26356;29;12;3;2;2;2;1;1;;;3;;1;1;;;;;1;;;
26370;12;5;4;2;1;;;;;;;;;;;;;;;;;
26410;70;41;18;6;2;3;;;;;;;;;;;;;;;;
26412;3;1;1;1;;;;;;;;;;;;;;;;;;
26418;206;130;38;27;3;5;;1;1;;1;;;;;;;;;;;
26420;4;4;;;;;;;;;;;;;;;;;;;;
26426;1;;1;;;;;;;;;;;;;;;;;;;
26432;1;1;;;;;;;;;;;;;;;;;;;;
26433;8;7;1;;;;;;;;;;;;;;;;;;;
26437;1;;;1;;;;;;;;;;;;;;;;;;
26440;2;;1;1;;;;;;;;;;;;;;;;;;
26445;2;1;1;;;;;;;;;;;;;;;;;;;
26455;1;;1;;;;;;;;;;;;;;;;;;;
26471;1;;;;;1;;;;;;;;;;;;;;;;
26497;1;;;;1;;;;;;;;;;;;;;;;;
26500;1;1;;;;;;;;;;;;;;;;;;;;
26502;1;1;;;;;;;;;;;;;;;;;;;;
26530;1;;;1;;;;;;;;;;;;;;;;;;
26535;5;2;;2;1;;;;;;;;;;;;;;;;;
26540;18;3;4;3;5;1;1;;1;;;;;;;;;;;;;
26545;1;;;1;;;;;;;;;;;;;;;;;;
26546;1;1;;;;;;;;;;;;;;;;;;;;
26548;2;;;1;;;;1;;;;;;;;;;;;;;
26565;1;;;1;;;;;;;;;;;;;;;;;;
26587;1;1;;;;;;;;;;;;;;;;;;;;
26590;1;1;;;;;;;;;;;;;;;;;;;;
26591;5;3;1;1;;;;;;;;;;;;;;;;;;
26600;208;187;10;4;3;1;1;1;1;;;;;;;;;;;;;
26605;855;737;78;26;6;4;;1;;1;;;1;;;1;;;;;;
26607;5;4;1;;;;;;;;;;;;;;;;;;;
26608;7;5;1;;1;;;;;;;;;;;;;;;;;
26615;31;20;6;2;2;1;;;;;;;;;;;;;;;;
26641;46;39;3;;1;1;1;;;;;1;;;;;;;;;;
26645;30;26;1;2;1;;;;;;;;;;;;;;;;;
26650;1;1;;;;;;;;;;;;;;;;;;;;
26665;1;1;;;;;;;;;;;;;;;;;;;;
26670;96;76;11;2;4;2;;;;;;;;;1;;;;;;;
26675;20;16;1;;;;;1;1;1;;;;;;;;;;;;
26686;1;1;;;;;;;;;;;;;;;;;;;;
26700;332;285;29;11;5;;1;;;;;;;1;;;;;;;;
26705;61;46;9;1;;1;2;;;2;;;;;;;;;;;;
26706;1;1;;;;;;;;;;;;;;;;;;;;
26715;8;4;2;1;;1;;;;;;;;;;;;;;;;
26720;170;148;12;3;2;3;2;;;;;;;;;;;;;;;
26725;789;683;63;19;11;5;3;3;;1;;;;;1;;;;;;;
26727;10;9;;;;;;;;1;;;;;;;;;;;;
26735;42;31;7;2;1;;;;;;;;;;;;1;;;;;
26740;18;16;1;1;;;;;;;;;;;;;;;;;;
26742;227;194;26;1;3;1;;1;;;;;;1;;;;;;;;
26746;18;12;3;;;;1;1;;1;;;;;;;;;;;;
26750;77;57;13;5;1;1;;;;;;;;;;;;;;;;
26755;279;199;51;16;5;2;1;;1;1;;;1;;;1;;;;1;;
26756;7;4;1;1;;;;;;;1;;;;;;;;;;;
26765;82;55;14;7;2;;2;;;;;1;;;;;;;;1;;
26770;1790;1474;186;53;32;25;8;5;;2;1;1;;;1;2;;;;;;
26775;250;208;32;4;1;2;1;1;1;;;;;;;;;;;;;
26776;1;;;;1;;;;;;;;;;;;;;;;;
26785;24;19;1;2;;;1;1;;;;;;;;;;;;;;
26850;1;1;;;;;;;;;;;;;;;;;;;;
26860;2;1;1;;;;;;;;;;;;;;;;;;;
26910;2;1;1;;;;;;;;;;;;;;;;;;;
26951;130;92;18;10;4;2;;;;;;1;1;;1;;;;;1;;
26952;39;27;8;1;;;1;1;;;;;;;;;;1;;;;
26989;91;78;7;3;1;1;;1;;;;;;;;;;;;;;
26991;1;1;;;;;;;;;;;;;;;;;;;;
27043;2;2;;;;;;;;;;;;;;;;;;;;
27062;1;1;;;;;;;;;;;;;;;;;;;;
27086;1;1;;;;;;;;;;;;;;;;;;;;
27093;2;1;;1;;;;;;;;;;;;;;;;;;
27096;13;13;;;;;;;;;;;;;;;;;;;;
27137;1;1;;;;;;;;;;;;;;;;;;;;
27138;1;;1;;;;;;;;;;;;;;;;;;;
27193;23;19;3;1;;;;;;;;;;;;;;;;;;
27194;3;3;;;;;;;;;;;;;;;;;;;;
27200;2;2;;;;;;;;;;;;;;;;;;;;
27220;1;;;1;;;;;;;;;;;;;;;;;;
27222;7;7;;;;;;;;;;;;;;;;;;;;
27230;2;2;;;;;;;;;;;;;;;;;;;;
27232;4;1;1;1;1;;;;;;;;;;;;;;;;;
27235;1;1;;;;;;;;;;;;;;;;;;;;
27236;1;1;;;;;;;;;;;;;;;;;;;;
27238;4;4;;;;;;;;;;;;;;;;;;;;
27240;2;2;;;;;;;;;;;;;;;;;;;;
27244;2;2;;;;;;;;;;;;;;;;;;;;
27245;1;1;;;;;;;;;;;;;;;;;;;;
27246;1;1;;;;;;;;;;;;;;;;;;;;
27250;155;135;8;2;1;4;;3;;1;;;;;;;;;;1;;
27252;82;66;2;3;2;2;1;2;;1;2;1;;;;;;;;;;
27256;9;8;;;;;;1;;;;;;;;;;;;;;
27257;34;28;1;1;1;;;2;;1;;;;;;;;;;;;
27265;599;523;26;12;5;9;2;3;2;2;3;2;2;2;1;1;3;;;;;1
27266;336;287;15;7;2;4;1;3;2;3;;3;5;1;2;1;;;;;;
27299;1;1;;;;;;;;;;;;;;;;;;;;
27301;46;41;;1;3;;;;;;;1;;;;;;;;;;
27305;1;;;1;;;;;;;;;;;;;;;;;;
27310;6;4;2;;;;;;;;;;;;;;;;;;;
27323;1;;1;;;;;;;;;;;;;;;;;;;
27337;1;1;;;;;;;;;;;;;;;;;;;;
27340;3;2;1;;;;;;;;;;;;;;;;;;;
27370;6;1;3;;;;;1;1;;;;;;;;;;;;;
27372;8;7;;;;1;;;;;;;;;;;;;;;;
27380;2;2;;;;;;;;;;;;;;;;;;;;
27420;1;1;;;;;;;;;;;;;;;;;;;;
27430;2;2;;;;;;;;;;;;;;;;;;;;
27486;1;1;;;;;;;;;;;;;;;;;;;;
27500;11;9;1;;;;1;;;;;;;;;;;;;;;
27501;1;1;;;;;;;;;;;;;;;;;;;;
27502;24;18;3;2;;;;;;1;;;;;;;;;;;;
27503;5;4;;;;;1;;;;;;;;;;;;;;;
27508;7;7;;;;;;;;;;;;;;;;;;;;
27510;15;12;;;;;1;;;;1;;;;;;1;;;;;
27513;2;1;;1;;;;;;;;;;;;;;;;;;
27516;1;1;;;;;;;;;;;;;;;;;;;;
27517;2;2;;;;;;;;;;;;;;;;;;;;
27520;17;14;1;1;;;1;;;;;;;;;;;;;;;
27524;7;6;1;;;;;;;;;;;;;;;;;;;
27530;43;40;;1;1;;;1;;;;;;;;;;;;;;
27532;25;24;;;;1;;;;;;;;;;;;;;;;
27535;3;3;;;;;;;;;;;;;;;;;;;;
27540;1;1;;;;;;;;;;;;;;;;;;;;
27550;94;81;9;1;1;;;;;1;;;1;;;;;;;;;
27552;24;17;4;2;;;;;;;;;;;;;;;1;;;
27560;675;616;25;11;12;6;2;1;1;;1;;;;;;;;;;;
27562;59;56;2;;;1;;;;;;;;;;;;;;;;
27566;1;1;;;;;;;;;;;;;;;;;;;;
27570;4;3;1;;;;;;;;;;;;;;;;;;;
27580;3;3;;;;;;;;;;;;;;;;;;;;
27599;15;14;1;;;;;;;;;;;;;;;;;;;
27600;2;;;1;1;;;;;;;;;;;;;;;;;
27603;5;5;;;;;;;;;;;;;;;;;;;;
27606;1;;1;;;;;;;;;;;;;;;;;;;
27610;2;1;;;;;;;;;;;;1;;;;;;;;
27614;1;1;;;;;;;;;;;;;;;;;;;;
27618;1;1;;;;;;;;;;;;;;;;;;;;
27640;1;1;;;;;;;;;;;;;;;;;;;;
27648;1;;1;;;;;;;;;;;;;;;;;;;
27650;11;9;2;;;;;;;;;;;;;;;;;;;
27654;2;1;1;;;;;;;;;;;;;;;;;;;
27658;5;2;3;;;;;;;;;;;;;;;;;;;
27664;3;1;;2;;;;;;;;;;;;;;;;;;
27685;1;1;;;;;;;;;;;;;;;;;;;;
27691;1;1;;;;;;;;;;;;;;;;;;;;
27695;2;1;;;1;;;;;;;;;;;;;;;;;
27750;46;41;5;;;;;;;;;;;;;;;;;;;
27752;113;95;6;3;2;3;1;2;;;;;;;1;;;;;;;
27758;3;3;;;;;;;;;;;;;;;;;;;;
27759;1;1;;;;;;;;;;;;;;;;;;;;
27760;22;21;1;;;;;;;;;;;;;;;;;;;
27762;61;55;3;1;;;1;1;;;;;;;;;;;;;;
27766;4;2;1;1;;;;;;;;;;;;;;;;;;
27767;2;2;;;;;;;;;;;;;;;;;;;;
27768;23;17;4;;;;2;;;;;;;;;;;;;;;
27780;14;12;1;1;;;;;;;;;;;;;;;;;;
27781;32;27;4;;;1;;;;;;;;;;;;;;;;
27784;2;2;;;;;;;;;;;;;;;;;;;;
27786;156;141;7;2;4;2;;;;;;;;;;;;;;;;
27788;245;220;9;5;4;2;1;2;;;1;;;;;;;;;;1;
27792;19;17;2;;;;;;;;;;;;;;;;;;;
27808;32;31;;;1;;;;;;;;;;;;;;;;;
27810;298;266;12;3;6;2;2;;5;1;;;1;;;;;;;;;
27814;32;22;6;;1;1;1;;1;;;;;;;;;;;;;
27816;5;5;;;;;;;;;;;;;;;;;;;;
27818;345;305;15;1;4;3;3;3;3;2;2;1;;;2;1;;;;;;
27822;11;9;;1;;;;;;;;;1;;;;;;;;;
27823;2;2;;;;;;;;;;;;;;;;;;;;
27824;50;46;;2;;1;1;;;;;;;;;;;;;;;
27825;91;84;1;1;1;3;;1;;;;;;;;;;;;;;
27827;3;3;;;;;;;;;;;;;;;;;;;;
27828;1;1;;;;;;;;;;;;;;;;;;;;
27829;8;2;4;2;;;;;;;;;;;;;;;;;;
27830;2;1;;;;;;;1;;;;;;;;;;;;;
27840;149;123;4;3;6;4;2;3;1;1;;;1;;1;;;;;;;
27842;57;49;2;2;1;1;2;;;;;;;;;;;;;;;
27846;1;1;;;;;;;;;;;;;;;;;;;;
27899;92;85;5;;2;;;;;;;;;;;;;;;;;
28022;1;;1;;;;;;;;;;;;;;;;;;;
28024;1;1;;;;;;;;;;;;;;;;;;;;
28126;2;1;1;;;;;;;;;;;;;;;;;;;
28160;2;1;1;;;;;;;;;;;;;;;;;;;
28190;383;349;17;7;3;2;3;1;;;;;1;;;;;;;;;
28192;37;35;1;1;;;;;;;;;;;;;;;;;;
28193;9;6;3;;;;;;;;;;;;;;;;;;;
28200;3;3;;;;;;;;;;;;;;;;;;;;
28208;13;10;2;1;;;;;;;;;;;;;;;;;;
28270;1;1;;;;;;;;;;;;;;;;;;;;
28285;4;2;1;1;;;;;;;;;;;;;;;;;;
28288;5;;;1;1;1;1;1;;;;;;;;;;;;;;
28290;1;1;;;;;;;;;;;;;;;;;;;;
28293;1;1;;;;;;;;;;;;;;;;;;;;
28296;2;2;;;;;;;;;;;;;;;;;;;;
28300;1;1;;;;;;;;;;;;;;;;;;;;
28320;1;;1;;;;;;;;;;;;;;;;;;;
28400;19;15;1;1;;;;;;;;;;;;;;;;;1;1
28405;7;6;;;;1;;;;;;;;;;;;;;;;
28415;4;4;;;;;;;;;;;;;;;;;;;;
28430;10;10;;;;;;;;;;;;;;;;;;;;
28435;30;24;2;2;;1;;;1;;;;;;;;;;;;;
28450;16;15;1;;;;;;;;;;;;;;;;;;;
28455;3;3;;;;;;;;;;;;;;;;;;;;
28465;1;1;;;;;;;;;;;;;;;;;;;;
28470;137;118;7;4;2;2;2;2;;;;;;;;;;;;;;
28475;62;49;6;2;4;1;;;;;;;;;;;;;;;;
28490;29;28;1;;;;;;;;;;;;;;;;;;;
28495;57;47;5;3;1;;;;;;;;;;;1;;;;;;
28496;1;;;1;;;;;;;;;;;;;;;;;;
28505;2;1;1;;;;;;;;;;;;;;;;;;;
28510;55;52;2;;;1;;;;;;;;;;;;;;;;
28515;339;295;27;8;6;;;1;;1;;;;;;;;;;;1;
28525;1;1;;;;;;;;;;;;;;;;;;;;
28540;13;10;2;;;;;;1;;;;;;;;;;;;;
28545;2;1;;;;;;;;;;;;;;;;;1;;;
28570;4;4;;;;;;;;;;;;;;;;;;;;
28585;1;1;;;;;;;;;;;;;;;;;;;;
28600;4;4;;;;;;;;;;;;;;;;;;;;
28605;3;3;;;;;;;;;;;;;;;;;;;;
28606;1;1;;;;;;;;;;;;;;;;;;;;
28630;85;72;7;2;1;1;1;1;;;;;;;;;;;;;;
28635;7;5;;;;1;1;;;;;;;;;;;;;;;
28645;1;;1;;;;;;;;;;;;;;;;;;;
28660;209;181;17;5;2;1;;2;;;1;;;;;;;;;;;
28665;22;22;;;;;;;;;;;;;;;;;;;;
28666;1;1;;;;;;;;;;;;;;;;;;;;
28675;3;2;;1;;;;;;;;;;;;;;;;;;
28730;1;1;;;;;;;;;;;;;;;;;;;;
28737;1;;1;;;;;;;;;;;;;;;;;;;
28750;1;1;;;;;;;;;;;;;;;;;;;;
28805;1;1;;;;;;;;;;;;;;;;;;;;
28810;3;3;;;;;;;;;;;;;;;;;;;;
28820;11;2;1;1;1;1;1;1;1;1;1;;;;;;;;;;;
28825;13;9;2;1;;;;;1;;;;;;;;;;;;;
28899;3;3;;;;;;;;;;;;;;;;;;;;
29040;3;3;;;;;;;;;;;;;;;;;;;;
29049;9;8;;;;;;1;;;;;;;;;;;;;;
29055;7;7;;;;;;;;;;;;;;;;;;;;
29058;2;2;;;;;;;;;;;;;;;;;;;;
29065;315;295;11;6;1;1;;;;;;1;;;;;;;;;;
29075;508;482;13;4;4;3;1;;;;;;1;;;;;;;;;
29085;48;37;4;;1;2;2;;;;;;;;;1;1;;;;;
29086;51;28;10;7;4;;;;1;1;;;;;;;;;;;;
29105;15727;14134;812;277;224;114;50;35;22;19;6;5;10;3;2;4;2;2;;1;4;1
29125;50992;44888;3256;1193;760;357;196;100;62;50;29;16;15;15;12;11;10;5;4;3;2;8
29126;2254;2128;77;20;10;4;4;3;2;2;1;;1;;;;1;1;;;;
29130;17530;13666;2788;517;270;128;69;40;14;11;7;4;2;;3;3;1;2;1;2;1;1
29131;1083;959;84;19;14;2;3;;;1;;;;;1;;;;;;;
29200;27;22;3;;;1;1;;;;;;;;;;;;;;;
29240;2181;1883;193;32;20;20;9;7;2;4;1;2;3;1;;1;1;;;1;1;
29260;425;336;46;19;5;10;2;3;2;;2;;;;;;;;;;;
29280;239;188;26;10;9;3;1;1;;;;;;1;;;;;;;;
29305;6;5;;;;1;;;;;;;;;;;;;;;;
29325;2;2;;;;;;;;;;;;;;;;;;;;
29345;132;117;7;2;3;1;1;;;;;;;1;;;;;;;;
29355;6;6;;;;;;;;;;;;;;;;;;;;
29358;3;3;;;;;;;;;;;;;;;;;;;;
29365;4;4;;;;;;;;;;;;;;;;;;;;
29405;366;343;16;1;2;2;1;;;;;;;;;;1;;;;;
29425;272;262;8;;1;1;;;;;;;;;;;;;;;;
29440;1;1;;;;;;;;;;;;;;;;;;;;
29445;6;6;;;;;;;;;;;;;;;;;;;;
29450;7;7;;;;;;;;;;;;;;;;;;;;
29505;9421;8532;513;140;77;45;41;24;10;7;6;2;5;8;4;3;1;;3;;;
29515;33316;29761;1705;764;520;252;107;66;28;21;23;16;9;13;9;7;7;1;1;3;2;1
29520;5;5;;;;;;;;;;;;;;;;;;;;
29530;6071;5518;360;91;46;16;8;10;5;5;1;2;3;;2;2;;1;;1;;
29540;1349;1136;159;37;4;4;5;2;;;1;;;;;;;1;;;;
29550;605;556;40;4;;1;1;1;;;;;1;;;;;;1;;;
29580;211;193;15;2;;;;;1;;;;;;;;;;;;;
29581;6;1;2;1;;;;;;;;;;1;1;;;;;;;
29582;5;5;;;;;;;;;;;;;;;;;;;;
29590;13;13;;;;;;;;;;;;;;;;;;;;
29700;38;30;5;2;;;1;;;;;;;;;;;;;;;
29705;76;59;14;3;;;;;;;;;;;;;;;;;;
29715;1;1;;;;;;;;;;;;;;;;;;;;
29730;6;6;;;;;;;;;;;;;;;;;;;;
29799;1855;1669;131;27;10;8;4;1;1;1;1;2;;;;;;;;;;
29807;2;2;;;;;;;;;;;;;;;;;;;;
29822;1;;;1;;;;;;;;;;;;;;;;;;
29823;2;1;1;;;;;;;;;;;;;;;;;;;
29824;3;2;;;;;;;;;1;;;;;;;;;;;
29826;10;5;3;1;;;;;;1;;;;;;;;;;;;
29827;10;;7;2;;;;;1;;;;;;;;;;;;;
29828;1;;1;;;;;;;;;;;;;;;;;;;
29830;1;1;;;;;;;;;;;;;;;;;;;;
29870;1;1;;;;;;;;;;;;;;;;;;;;
29871;2;2;;;;;;;;;;;;;;;;;;;;
29875;1;;1;;;;;;;;;;;;;;;;;;;
29876;4;3;1;;;;;;;;;;;;;;;;;;;
29879;1;;1;;;;;;;;;;;;;;;;;;;
29880;7;6;1;;;;;;;;;;;;;;;;;;;
29881;8;7;1;;;;;;;;;;;;;;;;;;;
29888;1;;1;;;;;;;;;;;;;;;;;;;
29898;1;1;;;;;;;;;;;;;;;;;;;;
30000;40;39;;;;;;;;;;;;;1;;;;;;;
30020;14;10;2;2;;;;;;;;;;;;;;;;;;
30100;1;1;;;;;;;;;;;;;;;;;;;;
30117;1;1;;;;;;;;;;;;;;;;;;;;
30300;1579;1544;23;9;2;;;;1;;;;;;;;;;;;;
30310;16;16;;;;;;;;;;;;;;;;;;;;
30320;22;22;;;;;;;;;;;;;;;;;;;;
30400;1;;1;;;;;;;;;;;;;;;;;;;
30420;2;2;;;;;;;;;;;;;;;;;;;;
30520;3;2;;1;;;;;;;;;;;;;;;;;;
30560;1;1;;;;;;;;;;;;;;;;;;;;
30630;1;;;;1;;;;;;;;;;;;;;;;;
30801;1;1;;;;;;;;;;;;;;;;;;;;
30802;1;1;;;;;;;;;;;;;;;;;;;;
30901;6470;5972;256;65;30;29;40;30;13;9;6;2;7;5;3;1;;;1;1;;
30903;325;283;18;4;1;1;5;4;1;1;;3;1;;;;;1;;1;;1
30905;583;469;75;12;5;3;6;4;2;3;1;1;;;;;;;2;;;
30906;46;38;6;1;;;1;;;;;;;;;;;;;;;
30930;2;;1;1;;;;;;;;;;;;;;;;;;
30999;442;429;11;2;;;;;;;;;;;;;;;;;;
31000;1;;1;;;;;;;;;;;;;;;;;;;
31020;2;1;1;;;;;;;;;;;;;;;;;;;
31050;1;1;;;;;;;;;;;;;;;;;;;;
31200;1;;;1;;;;;;;;;;;;;;;;;;
31231;21;18;2;;;;;;;1;;;;;;;;;;;;
31237;3;2;1;;;;;;;;;;;;;;;;;;;
31238;35;31;3;1;;;;;;;;;;;;;;;;;;
31299;2;1;;1;;;;;;;;;;;;;;;;;;
31370;1;1;;;;;;;;;;;;;;;;;;;;
31500;4699;3538;632;166;87;44;28;25;13;11;18;12;14;15;14;13;8;8;15;14;13;11
31502;62;54;5;1;;;;;;;1;;;;;;;;;1;;
31505;67;59;2;3;3;;;;;;;;;;;;;;;;;
31511;10;9;;1;;;;;;;;;;;;;;;;;;
31515;8;7;1;;;;;;;;;;;;;;;;;;;
31525;93;70;20;1;1;;;;;;;;;1;;;;;;;;
31526;2;2;;;;;;;;;;;;;;;;;;;;
31530;25;22;2;1;;;;;;;;;;;;;;;;;;
31531;1;1;;;;;;;;;;;;;;;;;;;;
31535;4;4;;;;;;;;;;;;;;;;;;;;
31540;1;1;;;;;;;;;;;;;;;;;;;;
31541;1;1;;;;;;;;;;;;;;;;;;;;
31575;228;197;21;4;3;1;;;;;1;;1;;;;;;;;;
31577;13;13;;;;;;;;;;;;;;;;;;;;
31599;8;6;2;;;;;;;;;;;;;;;;;;;
31603;2;1;1;;;;;;;;;;;;;;;;;;;
31605;17;13;3;1;;;;;;;;;;;;;;;;;;
31613;2;2;;;;;;;;;;;;;;;;;;;;
31615;7;7;;;;;;;;;;;;;;;;;;;;
31620;1;;1;;;;;;;;;;;;;;;;;;;
31622;38;30;5;2;1;;;;;;;;;;;;;;;;;
31623;11;9;2;;;;;;;;;;;;;;;;;;;
31624;21;17;4;;;;;;;;;;;;;;;;;;;
31625;5;4;;1;;;;;;;;;;;;;;;;;;
31628;6;;6;;;;;;;;;;;;;;;;;;;
31629;1;;1;;;;;;;;;;;;;;;;;;;
31630;1;1;;;;;;;;;;;;;;;;;;;;
31635;11;8;2;;;;;;;;;1;;;;;;;;;;
31636;1;;;1;;;;;;;;;;;;;;;;;;
31640;1;1;;;;;;;;;;;;;;;;;;;;
31645;10;5;3;1;;;;;;;;;;;;;;;;;1;
31720;414;317;21;15;7;6;4;1;5;3;1;1;4;4;3;5;4;1;5;2;4;1
31899;15;12;3;;;;;;;;;;;;;;;;;;;
32035;1;1;;;;;;;;;;;;;;;;;;;;
32036;1;;;;;;;;;;;;1;;;;;;;;;
32100;11;3;6;1;;;1;;;;;;;;;;;;;;;
32110;11;1;3;3;2;;1;;;;;;;;;1;;;;;;
32160;70;29;21;7;2;2;3;;1;1;2;;;;;1;;;;;;1
32405;39;31;4;1;1;;;1;;;1;;;;;;;;;;;
32421;745;657;38;18;5;3;2;1;3;1;2;2;1;;2;2;1;;2;2;1;2
32422;222;158;23;10;3;2;;2;2;1;4;1;1;6;1;2;;2;2;;1;1
32440;2;1;;;;;;;1;;;;;;;;;;;;;
32505;2;1;;1;;;;;;;;;;;;;;;;;;
32550;26;17;5;4;;;;;;;;;;;;;;;;;;
32551;522;340;75;40;19;20;4;3;4;1;;4;2;2;1;2;1;2;1;1;;
32552;5;4;;1;;;;;;;;;;;;;;;;;;
32654;1;1;;;;;;;;;;;;;;;;;;;;
32666;1;;;1;;;;;;;;;;;;;;;;;;
32667;1;;;;1;;;;;;;;;;;;;;;;;
32999;13;7;5;1;;;;;;;;;;;;;;;;;;
33010;24;8;8;4;1;;;;1;;1;;;;;;;;1;;;
33011;2;1;;;1;;;;;;;;;;;;;;;;;
33020;5;1;2;;1;1;;;;;;;;;;;;;;;;
33025;1;;;;;;1;;;;;;;;;;;;;;;
33207;9;8;;;;;;;;;;;;1;;;;;;;;
33208;71;66;1;;1;;;;1;;1;1;;;;;;;;;;
33210;21;4;8;4;;3;;;;;;;;;1;;1;;;;;
33212;2;1;;;;;;;;;1;;;;;;;;;;;
33215;4;2;1;1;;;;;;;;;;;;;;;;;;
33216;3;3;;;;;;;;;;;;;;;;;;;;
33217;1;1;;;;;;;;;;;;;;;;;;;;
33222;2;1;1;;;;;;;;;;;;;;;;;;;
33223;2;2;;;;;;;;;;;;;;;;;;;;
33224;1;1;;;;;;;;;;;;;;;;;;;;
33225;5;;4;;;;;;;;;;;;1;;;;;;;
33227;2;2;;;;;;;;;;;;;;;;;;;;
33228;19;18;1;;;;;;;;;;;;;;;;;;;
33233;3;1;1;1;;;;;;;;;;;;;;;;;;
33234;1;;;1;;;;;;;;;;;;;;;;;;
33235;5;;3;2;;;;;;;;;;;;;;;;;;
33240;1;;1;;;;;;;;;;;;;;;;;;;
33241;1;;1;;;;;;;;;;;;;;;;;;;
33244;2;;1;1;;;;;;;;;;;;;;;;;;
33249;6;6;;;;;;;;;;;;;;;;;;;;
33263;2;;;;1;;;;;;;;;;;;;;;1;;
33264;1;1;;;;;;;;;;;;;;;;;;;;
33282;10;8;;;;;;;;;;;;;;;;;;;1;1
33284;1;;1;;;;;;;;;;;;;;;;;;;
33300;1;;;;1;;;;;;;;;;;;;;;;;
33863;1;1;;;;;;;;;;;;;;;;;;;;
33967;6;1;1;1;2;;;;;;;;;;;;;;;;1;
33999;8;3;1;;2;2;;;;;;;;;;;;;;;;
34101;2;2;;;;;;;;;;;;;;;;;;;;
34111;1;;1;;;;;;;;;;;;;;;;;;;
34421;1;1;;;;;;;;;;;;;;;;;;;;
34510;1;1;;;;;;;;;;;;;;;;;;;;
34805;1;1;;;;;;;;;;;;;;;;;;;;
34812;1;;1;;;;;;;;;;;;;;;;;;;
34830;1;1;;;;;;;;;;;;;;;;;;;;
34832;1;;;;;;;;;1;;;;;;;;;;;;
35045;1;1;;;;;;;;;;;;;;;;;;;;
35190;5;5;;;;;;;;;;;;;;;;;;;;
35201;4;3;1;;;;;;;;;;;;;;;;;;;
35206;45;30;6;4;2;1;1;;1;;;;;;;;;;;;;
35207;33;20;11;;1;;;;;;;;1;;;;;;;;;
35216;2;;1;;;1;;;;;;;;;;;;;;;;
35221;3;2;1;;;;;;;;;;;;;;;;;;;
35226;123;115;4;3;;;;;;;1;;;;;;;;;;;
35236;1;;;1;;;;;;;;;;;;;;;;;;
35301;3;3;;;;;;;;;;;;;;;;;;;;
35302;1;1;;;;;;;;;;;;;;;;;;;;
35351;1;1;;;;;;;;;;;;;;;;;;;;
35371;1;;1;;;;;;;;;;;;;;;;;;;
35460;9;9;;;;;;;;;;;;;;;;;;;;
35471;1;1;;;;;;;;;;;;;;;;;;;;
35475;26;15;3;3;3;;;;1;1;;;;;;;;;;;;
35476;158;83;29;8;11;4;5;4;1;4;1;2;4;;1;;1;;;;;
35701;1;1;;;;;;;;;;;;;;;;;;;;
35761;2;2;;;;;;;;;;;;;;;;;;;;
35800;1;1;;;;;;;;;;;;;;;;;;;;
