Ecode;TotalECodes;e0;e1;e2;e3;e4
E950.4;2446;1893;462;84;6;1
E950.5;503;488;9;3;3;
E950.6;26;24;1;;;1
E950.7;101;92;8;1;;
E950.8;1;1;;;;
E950.9;699;327;283;75;12;2
E951.0;2;2;;;;
E951.1;1;1;;;;
E952.0;22;20;2;;;
E952.1;4;3;1;;;
E952.8;19;19;;;;
E952.9;4;4;;;;
E953.0;310;301;5;3;1;
E953.1;7;7;;;;
E953.8;61;59;1;1;;
E953.9;11;11;;;;
E954;7;7;;;;
E955.0;40;40;;;;
E955.1;6;6;;;;
E955.2;1;1;;;;
E955.4;32;31;1;;;
E955.6;10;10;;;;
E955.9;13;13;;;;
E956;4524;4282;157;67;16;2
E957.0;24;24;;;;
E957.1;52;51;1;;;
E957.2;2;2;;;;
E957.9;13;12;1;;;
E958.0;66;66;;;;
E958.1;83;70;10;3;;
E958.2;1;1;;;;
E958.3;6;5;1;;;
E958.4;2;2;;;;
E958.5;17;15;1;1;;
E958.6;1;1;;;;
E958.7;4;4;;;;
E958.8;1122;1078;32;7;3;2
E958.9;291;281;4;6;;
E959;37;33;2;2;;
E960.0;27203;26503;596;58;20;26
E960.1;551;521;24;4;2;
E961;57;54;2;;;1
E962.0;43;39;2;;1;1
E962.1;33;31;2;;;
E962.2;36;30;3;2;;1
E962.9;4;2;2;;;
E963;194;145;39;7;3;
E964;6;5;;1;;
E965.0;276;272;2;2;;
E965.1;65;65;;;;
E965.2;2;2;;;;
E965.3;1;1;;;;
E965.4;926;923;3;;;
E965.6;2;2;;;;
E965.9;26;26;;;;
E966;3589;3507;73;9;;
E967.0;1485;1040;373;59;10;3
E967.1;369;240;106;17;1;5
E967.2;204;133;55;13;1;2
E967.3;1437;930;415;77;10;5
E967.4;188;130;47;9;1;1
E967.5;173;114;44;9;2;4
E967.6;22;14;5;2;;1
E967.7;159;106;43;7;1;2
E967.8;22;15;6;1;;
E967.9;336;192;133;10;1;
E968.0;27;25;1;1;;
E968.1;67;63;4;;;
E968.2;5459;5305;131;17;3;3
E968.3;38;38;;;;
E968.4;8;7;1;;;
E968.5;108;97;10;1;;
E968.6;75;74;1;;;
E968.7;1628;1394;186;37;7;4
E968.8;8254;7916;296;34;6;2
E968.9;8001;7855;120;22;3;1
E969;1274;1238;22;7;6;1
E970;148;140;6;2;;
E971;3;3;;;;
E972;34;26;7;;1;
E973;239;222;12;3;2;
E974;237;217;16;4;;
E975;3853;3502;299;39;11;2
E976;521;484;30;5;1;1
E977;120;111;6;2;1;
E978;67;59;3;4;;1
E979.3;3;3;;;;
E979.7;2;2;;;;
E979.8;3;3;;;;
E980.0;1213;1073;119;17;4;
E980.1;13;9;3;1;;
E980.2;200;170;26;3;1;
E980.3;1404;1232;142;23;3;4
E980.4;964;859;82;19;3;1
E980.5;428;410;13;4;;1
E980.6;48;46;2;;;
E980.7;20;20;;;;
E980.8;3;3;;;;
E980.9;796;678;84;22;11;1
E981.0;14;14;;;;
E981.1;9;9;;;;
E982.0;4;4;;;;
E982.1;32;31;;1;;
E982.8;43;43;;;;
E982.9;32;31;1;;;
E983.0;5;5;;;;
E983.1;1;1;;;;
E983.8;15;13;1;1;;
E983.9;6;5;1;;;
E984;8;8;;;;
E985.0;20;19;1;;;
E985.1;11;11;;;;
E985.2;1;1;;;;
E985.4;156;154;2;;;
E985.5;1;1;;;;
E985.6;21;21;;;;
E985.7;1;1;;;;
E986;184;172;12;;;
E987.0;53;53;;;;
E987.1;73;69;3;;1;
E987.2;14;14;;;;
E987.9;145;144;1;;;
E988.0;13;11;2;;;
E988.1;72;68;3;1;;
E988.2;12;11;1;;;
E988.3;92;87;3;1;1;
E988.4;2;2;;;;
E988.5;27;27;;;;
E988.6;1;;;;1;
E988.7;4;3;;1;;
E988.8;371;361;8;2;;
E988.9;1052;1038;11;3;;
E989;278;251;7;16;2;2
E990.0;1;1;;;;
E992.8;1;1;;;;
E992.9;1;1;;;;
E993.8;1;1;;;;
E995.2;1;1;;;;
E995.9;2;2;;;;
E998.1;1;1;;;;
E998.9;3;3;;;;
E999.0;23;20;1;1;;1
E999.1;1;1;;;;
