Ecode;TotalECodes;e0;e1;e2;e3;e4
E817.4;27;27;;;;
E817.5;1;1;;;;
E817.6;6;6;;;;
E817.7;19;19;;;;
E817.8;90;87;2;1;;
E817.9;579;543;31;2;2;1
E818.0;644;626;15;1;2;
E818.1;1026;1000;24;2;;
E818.2;1251;1236;13;;2;
E818.3;55;52;3;;;
E818.4;20;20;;;;
E818.6;82;79;3;;;
E818.7;340;337;3;;;
E818.8;288;283;4;1;;
E818.9;689;667;20;1;1;
E819.0;2665;2640;19;4;1;1
E819.1;1721;1714;5;2;;
E819.2;919;910;7;1;1;
E819.3;36;36;;;;
E819.4;6;6;;;;
E819.5;12;;11;;1;
E819.6;164;161;3;;;
E819.7;397;393;3;;;1
E819.8;135;127;7;;1;
E819.9;2352;2311;32;8;1;
E820.0;30;30;;;;
E820.1;5;5;;;;
E820.2;3;3;;;;
E820.3;3;3;;;;
E820.4;1;1;;;;
E820.7;2;2;;;;
E820.8;19;17;1;;;1
E820.9;10;10;;;;
E821.0;1296;1281;13;1;1;
E821.1;187;185;1;1;;
E821.2;1890;1867;17;6;;
E821.3;22;22;;;;
E821.5;1;1;;;;
E821.6;26;26;;;;
E821.7;59;58;1;;;
E821.8;107;105;2;;;
E821.9;284;278;5;;1;
E822.0;81;81;;;;
E822.1;33;33;;;;
E822.2;16;15;1;;;
E822.6;47;46;1;;;
E822.7;127;124;3;;;
E822.8;41;41;;;;
E822.9;17;17;;;;
E823.0;295;288;6;1;;
E823.1;74;72;2;;;
E823.2;74;73;1;;;
E823.3;1;1;;;;
E823.4;2;2;;;;
E823.6;11;11;;;;
E823.7;78;76;1;;;1
E823.8;33;31;2;;;
E823.9;13;13;;;;
E824.0;201;195;6;;;
E824.1;587;571;13;2;1;
E824.2;54;53;;;;1
E824.3;5;5;;;;
E824.4;3;3;;;;
E824.6;2;2;;;;
E824.7;6;6;;;;
E824.8;96;91;5;;;
E824.9;458;438;19;;1;
E825.0;495;486;9;;;
E825.1;196;183;10;3;;
E825.2;668;661;6;;1;
E825.3;18;18;;;;
E825.4;4;4;;;;
E825.6;33;33;;;;
E825.7;306;300;5;;1;
E825.8;199;195;4;;;
E825.9;218;213;5;;;
E826.0;427;418;8;1;;
E826.1;23092;22759;295;32;4;2
E826.2;21;20;1;;;
E826.3;2;2;;;;
E826.4;7;7;;;;
E826.8;132;128;2;2;;
E826.9;269;268;1;;;
E827.0;18;18;;;;
E827.3;3;3;;;;
E827.8;3;3;;;;
E828.0;12;11;1;;;
E828.2;2216;2188;23;5;;
E828.4;2;2;;;;
E828.8;29;28;;1;;
E828.9;59;58;1;;;
E829.0;49;49;;;;
E829.4;50;49;;;1;
E829.8;123;116;4;2;;1
E829.9;36;32;4;;;
E830.0;3;3;;;;
E830.1;2;2;;;;
E830.2;1;1;;;;
E830.9;3;3;;;;
E831.0;1;1;;;;
E831.1;13;12;1;;;
E831.2;7;7;;;;
E831.3;16;15;1;;;
E831.4;2;2;;;;
E831.5;1;1;;;;
E831.8;6;6;;;;
E831.9;6;5;1;;;
E832.0;5;5;;;;
E832.1;6;6;;;;
E832.2;1;1;;;;
E832.3;6;6;;;;
E832.4;1;1;;;;
E832.5;1;1;;;;
E832.8;3;3;;;;
E832.9;3;3;;;;
E833.1;2;2;;;;
E833.3;7;7;;;;
E833.7;1;1;;;;
E833.8;1;1;;;;
E833.9;3;3;;;;
E834.0;6;5;1;;;
E834.1;9;9;;;;
E834.2;7;7;;;;
E834.3;24;22;2;;;
E834.4;7;5;2;;;
E834.5;1;1;;;;
E834.6;1;1;;;;
E834.8;19;17;2;;;
E834.9;15;15;;;;
E835.0;7;7;;;;
E835.1;6;6;;;;
E835.2;2;2;;;;
E835.3;24;23;;1;;
E835.4;6;5;1;;;
E835.5;2;2;;;;
E835.8;10;10;;;;
E835.9;7;7;;;;
E836.0;2;2;;;;
E836.2;1;1;;;;
E836.3;1;1;;;;
E836.7;1;1;;;;
E836.8;2;2;;;;
E836.9;1;1;;;;
E837.8;2;2;;;;
E838.0;12;10;2;;;
E838.1;21;18;3;;;
E838.2;5;4;1;;;
E838.3;40;36;2;2;;
E838.4;10;10;;;;
E838.5;4;4;;;;
E838.8;15;14;1;;;
E838.9;31;30;1;;;
E840.3;2;1;1;;;
E840.5;6;6;;;;
E840.7;2;2;;;;
E840.8;1;;1;;;
E840.9;13;1;10;2;;
E841.1;1;1;;;;
E841.2;1;1;;;;
E841.3;5;3;2;;;
E841.4;1;1;;;;
E841.5;7;7;;;;
E841.8;3;3;;;;
E841.9;2;2;;;;
E842.6;3;2;1;;;
E842.9;2;2;;;;
E843.3;1;1;;;;
E843.4;1;1;;;;
E843.5;2;2;;;;
E843.6;2;1;1;;;
E843.7;1;1;;;;
E843.8;1;1;;;;
E843.9;5;3;2;;;
E844.0;4;4;;;;
E844.1;1;1;;;;
E844.2;4;4;;;;
E844.3;7;6;1;;;
E844.4;1;1;;;;
E844.5;1;1;;;;
E844.7;66;32;33;;1;
E844.8;1;1;;;;
E844.9;15;8;7;;;
E845.0;1;;1;;;
E845.9;8;1;7;;;
E846;26;19;6;;1;
E847;33;29;2;2;;
E848;705;685;15;4;1;
E849.0;340852;582;308060;19536;12301;373
E849.1;486;7;421;38;20;
E849.2;87;;72;6;9;
E849.3;31998;88;27579;2727;1578;26
E849.4;89690;606;75694;7059;6242;89
E849.5;120403;147;109067;6041;5072;76
E849.6;52837;195;46629;3739;2223;51
E849.7;26619;81;23935;1378;1147;78
E849.8;177573;488;152459;12674;11650;302
E849.9;392599;925;354037;21683;15582;372
E850.0;623;600;20;2;1;
E850.1;205;168;28;8;1;
E850.2;1336;1098;198;29;6;5
E850.3;161;138;15;6;2;
E850.4;1005;878;97;28;2;
E850.5;7;4;1;2;;
E850.6;479;428;39;7;4;1
E850.7;16;12;3;1;;
E850.8;79;70;8;;1;
E850.9;39;34;3;1;;1
E851;31;22;6;1;2;
E852.0;1;1;;;;
E852.2;2;1;1;;;
E852.5;1;1;;;;
E852.8;481;378;79;21;1;2
E852.9;250;218;25;6;1;
E853.0;23;20;3;;;
E853.1;27;25;1;1;;
E853.2;1385;1052;254;71;7;1
E853.8;427;349;54;17;5;2
E853.9;8;7;1;;;
E854.0;535;439;63;24;5;4
E854.1;760;667;57;29;5;2
E854.2;701;604;70;22;4;1
E854.3;200;168;26;5;1;
E854.8;37;30;4;2;1;
E855.0;383;310;48;13;11;1
E855.1;562;439;100;19;4;
E855.2;17;15;1;;;1
E855.3;12;12;;;;
E855.4;60;37;17;3;3;
E855.5;135;117;12;4;2;
E855.6;131;106;17;7;1;
E855.8;5;5;;;;
E855.9;31;29;1;1;;
E856;148;138;7;2;1;
E857;80;72;6;2;;
E858.0;1049;1004;31;12;2;
E858.1;650;559;65;20;5;1
E858.2;203;181;14;6;1;1
E858.3;713;600;74;30;8;1
E858.4;138;116;11;5;4;2
E858.5;148;113;23;6;3;3
E858.6;399;338;49;8;3;1
E858.7;314;307;3;3;1;
E858.8;840;811;18;9;2;
E858.9;809;789;16;3;1;
E860.0;714;459;188;52;12;3
E860.1;23;18;2;2;1;
E860.2;5;5;;;;
E860.3;54;53;1;;;
E860.4;3;1;2;;;
E860.8;10;7;3;;;
E860.9;193;137;35;18;2;1
E861.0;138;135;3;;;
E861.1;82;80;2;;;
E861.2;13;13;;;;
E861.3;212;206;6;;;
E861.4;72;68;4;;;
E861.6;34;34;;;;
E861.9;60;58;2;;;
E862.0;5;5;;;;
E862.1;76;76;;;;
E862.2;8;8;;;;
E862.3;3;3;;;;
E862.4;84;82;1;1;;
E862.9;12;12;;;;
E863.0;1;1;;;;
E863.1;1;1;;;;
E863.3;2;2;;;;
E863.4;99;97;2;;;
E863.5;7;7;;;;
E863.6;8;5;3;;;
E863.7;74;74;;;;
E863.9;5;4;1;;;
E864.0;22;21;1;;;
E864.1;53;48;5;;;
E864.2;35;30;5;;;
E864.3;426;409;14;3;;
E864.4;15;15;;;;
E865.1;53;52;1;;;
E865.2;35;35;;;;
E865.3;23;23;;;;
E865.4;949;937;6;4;;2
E865.5;90;90;;;;
E865.8;194;192;2;;;
E865.9;334;330;3;1;;
E866.0;2;2;;;;
E866.1;3;3;;;;
E866.3;1;1;;;;
E866.4;33;26;5;1;1;
E866.5;14;12;2;;;
E866.6;53;51;2;;;
E866.7;43;43;;;;
E866.8;234;231;1;2;;
E866.9;443;437;6;;;
E867;70;69;1;;;
E868.0;35;34;1;;;
E868.1;27;25;2;;;
E868.2;25;24;;1;;
E868.3;12;12;;;;
E868.8;78;75;3;;;
E868.9;128;127;1;;;
E869.0;2;2;;;;
E869.2;11;10;1;;;
E869.3;9;5;3;;;1
E869.4;823;720;16;37;12;38
E869.8;329;321;5;2;;1
E869.9;125;123;1;;;1
E870.0;14;14;;;;
E870.1;2;2;;;;
E870.2;4;3;1;;;
E870.3;3;2;;1;;
E870.4;5;5;;;;
E870.5;2;1;;1;;
E870.6;1;1;;;;
E870.8;35;27;3;4;1;
E870.9;5;3;;2;;
E871.0;7;7;;;;
E871.1;3;3;;;;
E871.3;5;5;;;;
E871.4;1;1;;;;
E871.8;15;15;;;;
E871.9;1;1;;;;
E873.2;1;;1;;;
E873.4;1;1;;;;
E873.5;14;12;1;;;1
E873.9;2;1;1;;;
E874.0;1;1;;;;
E874.1;1;1;;;;
E874.2;7;6;1;;;
E874.4;1;1;;;;
E874.8;3;3;;;;
E874.9;3;2;1;;;
E875.1;5;5;;;;
E876.1;1;1;;;;
E876.2;1;1;;;;
E876.6;1;1;;;;
E876.8;97;94;1;2;;
E876.9;51;51;;;;
E878.0;226;212;8;5;;1
E878.1;1204;1163;28;8;4;1
E878.2;549;545;3;1;;
E878.3;606;601;3;2;;
E878.4;184;182;1;1;;
